"batch_number","n_tumor","n_normal","total","both_groups_represented","tumor_only","normal_only"
"119",41,12,53,TRUE,FALSE,FALSE
"144",37,15,52,TRUE,FALSE,FALSE
"160",33,18,51,TRUE,FALSE,FALSE
"166",33,0,33,FALSE,TRUE,FALSE
"183",28,0,28,FALSE,TRUE,FALSE
"196",22,0,22,FALSE,TRUE,FALSE
"204",18,0,18,FALSE,TRUE,FALSE
"213",35,0,35,FALSE,TRUE,FALSE
"222",16,0,16,FALSE,TRUE,FALSE
"232",14,0,14,FALSE,TRUE,FALSE
"238",34,0,34,FALSE,TRUE,FALSE
"258",33,0,33,FALSE,TRUE,FALSE
"264",34,0,34,FALSE,TRUE,FALSE
"278",21,0,21,FALSE,TRUE,FALSE
"37",21,4,25,TRUE,FALSE,FALSE
"406",13,0,13,FALSE,TRUE,FALSE
"423",9,0,9,FALSE,TRUE,FALSE
"52",11,3,14,TRUE,FALSE,FALSE
"58",35,4,39,TRUE,FALSE,FALSE
"84",27,3,30,TRUE,FALSE,FALSE
